MIL	56	17	9.41	112.69	103.73	8.96	105.1	0.552	12.9	20.7	0.201	0.489	12	81.6	0.178
LAC	49	23	6.66	114.56	107.94	6.62	101.5	0.535	12.6	23.5	0.233	0.506	12.2	77.6	0.206
LAL	52	19	6.28	112.83	106.68	6.16	100.9	0.542	13.3	24.5	0.201	0.515	14.1	78.8	0.205
TOR	53	19	5.97	111.99	106.08	5.9	100.9	0.536	13.1	21.3	0.21	0.502	14.6	76.7	0.202
BOS	48	24	5.83	114.01	108.15	5.86	99.5	0.531	12.2	23.9	0.207	0.509	13.5	77.4	0.215
DAL	43	32	4.87	117.41	112.52	4.9	99.3	0.545	11.2	23.2	0.206	0.525	10.6	77.7	0.175
HOU	44	28	3.13	113.68	110.59	3.08	103.7	0.537	12.6	21	0.228	0.529	13.7	75.6	0.197
MIA	44	29	2.59	113.09	110.38	2.71	98.3	0.547	13.5	20.3	0.234	0.523	12.6	79.5	0.213
UTH	44	28	2.52	113.22	110.65	2.58	98.6	0.549	13.7	21.6	0.208	0.518	11.1	78.9	0.185
DEN	46	27	2.35	111.74	109.32	2.42	97.1	0.535	12.3	24.8	0.183	0.533	12.9	76.8	0.198
OKC	44	28	2.33	114.06	111.66	2.4	98.8	0.53	12.4	19.3	0.231	0.518	12.6	76.8	0.173
PHI	43	30	2.25	112.15	109.97	2.18	99	0.534	12.7	23.9	0.193	0.523	12.5	80.3	0.214
IND	45	28	1.63	110.94	109.17	1.77	98.9	0.534	12	20	0.17	0.511	13	76.7	0.192
PHX	34	39	0.56	112.41	111.94	0.47	101.3	0.532	13	22.2	0.226	0.539	13.7	78.8	0.221
NOP	30	42	-0.55	111.73	112.18	-0.46	103.7	0.539	13.9	24.2	0.186	0.532	12.4	77.8	0.212
POR	35	39	-0.61	114.48	115.09	-0.61	100.7	0.533	11.2	22.4	0.194	0.53	11.2	75.3	0.208
SAS	32	39	-0.65	113.13	113.86	-0.73	100.5	0.531	11.2	20.1	0.212	0.542	11.7	79.2	0.193
MEM	34	39	-0.91	109.87	110.65	-0.78	102.8	0.528	13.2	23	0.183	0.521	12.7	77.8	0.217
ORL	33	40	-0.93	109.63	110.64	-1.01	98.6	0.506	11.5	22.3	0.198	0.535	13.2	79.1	0.176
BKN	35	37	-1.01	109.18	110.27	-1.09	101.4	0.52	13.1	23.2	0.199	0.511	11	77.8	0.187
SAC	31	41	-1.59	111.17	112.65	-1.48	98.9	0.534	13	21.9	0.177	0.543	13.6	78.4	0.225
CHI	22	43	-4	108.9	112.73	-3.83	99.7	0.515	13.7	22.8	0.175	0.546	16.3	75.6	0.239
MIN	19	45	-4.02	107.22	111.29	-4.07	103.4	0.514	13	22.1	0.209	0.541	13.2	77.2	0.218
DET	20	46	-4.38	109.77	114.23	-4.45	97.6	0.529	13.8	22.6	0.194	0.541	12.7	75.9	0.186
WSH	25	47	-5.24	111.64	116.7	-5.05	102.7	0.523	12.2	22.2	0.213	0.558	13.9	75.3	0.231
NYK	21	45	-6.72	106.91	113.6	-6.7	98.6	0.501	12.6	25.8	0.182	0.541	12.4	78.3	0.224
CHA	23	42	-7.03	107.38	114.56	-7.18	95.8	0.504	13.3	23.9	0.188	0.546	13.1	74.4	0.159
ATL	20	47	-7.71	108.18	115.56	-7.37	103	0.515	13.8	21.6	0.204	0.543	12.7	74.9	0.233
CLE	19	46	-7.77	108.46	116.41	-7.94	98.7	0.522	14.6	24.6	0.172	0.56	11.7	77.4	0.164
GSW	15	50	-8.12	105.98	114.11	-8.13	100.3	0.497	13.2	21.5	0.212	0.553	13.7	76.4	0.193
