Dallas Mavericks*	41.7	90.3	0.461	15.1	41.3	0.367	26.5	49	0.541	18.6	23.8	0.779	10.5	36.4	46.9	24.7	6.1	4.8	12.7	19.5	117
Milwaukee Bucks*	43.3	90.9	0.476	13.8	38.9	0.355	29.5	52	0.567	18.3	24.7	0.742	9.5	42.2	51.7	25.9	7.2	5.9	15.1	19.6	118.7
Portland Trail Blazers*	42.2	91.2	0.463	12.9	34.1	0.377	29.3	57.1	0.514	17.7	22.1	0.804	10.2	35.1	45.3	20.6	6.3	6.1	12.8	21.7	115
Houston Rockets*	40.8	90.4	0.451	15.6	45.3	0.345	25.1	45.2	0.557	20.6	26.1	0.791	9.8	34.5	44.3	21.6	8.7	5.2	14.7	21.8	117.8
Los Angeles Clippers*	41.6	89.2	0.466	12.4	33.5	0.371	29.1	55.8	0.522	20.8	26.3	0.791	10.7	37	47.7	23.7	7.1	4.7	14.6	22.1	116.3
New Orleans Pelicans	42.6	91.6	0.465	13.6	36.9	0.37	28.9	54.8	0.528	17.1	23.4	0.729	11.1	35.4	46.5	26.8	7.5	5	16.4	21.2	115.8
Phoenix Suns	41.2	88.1	0.468	11.4	31.8	0.358	29.8	56.3	0.529	19.9	23.8	0.834	9.8	33.8	43.5	27.2	7.7	4	14.8	22	113.6
Washington Wizards	41.5	90.9	0.457	12	32.6	0.368	29.5	58.3	0.506	19.4	24.6	0.788	10.2	31.9	42	25	8	4.3	14.2	22.7	114.4
Memphis Grizzlies	42.5	90.9	0.468	10.9	31.5	0.347	31.6	59.4	0.532	16.6	21.8	0.763	10.3	36.2	46.5	26.9	7.9	5.5	15.2	21.2	112.6
Boston Celtics*	41.3	89.6	0.461	12.6	34.5	0.364	28.7	55	0.522	18.6	23.2	0.801	10.7	35.4	46.1	23	8.3	5.6	13.8	21.6	113.7
Miami Heat*	39.5	84.4	0.468	13.4	35.4	0.379	26	49	0.532	19.7	25.2	0.783	8.5	35.9	44.4	25.9	7.5	4.5	14.9	20.6	112
Denver Nuggets*	42	88.9	0.473	11	30.6	0.359	31.1	58.3	0.533	16.2	20.9	0.777	10.8	33.4	44.1	26.7	8	4.6	13.8	20.3	111.3
Toronto Raptors*	40.2	87.9	0.458	13.8	37	0.374	26.4	50.9	0.519	18.5	23.2	0.796	9.5	35.9	45.4	25.2	8.8	5	14.8	21.7	112.8
San Antonio Spurs	42.2	89.4	0.472	10.7	28.5	0.376	31.5	61	0.516	19	23.4	0.81	9	35.6	44.6	24.7	7.3	5.5	12.6	19.4	114.1
Philadelphia 76ers*	41.1	87.9	0.468	11.6	31.6	0.368	29.5	56.3	0.524	16.9	22.4	0.755	10.5	35	45.4	25.8	8	5.3	14.2	20.9	110.7
Los Angeles Lakers*	42.3	88.3	0.48	11	31.6	0.349	31.3	56.7	0.552	17.7	24.3	0.729	10.7	35.1	45.7	25.4	8.6	6.6	15.2	20.7	113.4
Brooklyn Nets*	40.4	90.3	0.448	13.1	38.1	0.343	27.3	52.1	0.524	17.9	24.1	0.745	10.6	37.3	47.9	24.5	6.4	4.5	15.3	21	111.8
Utah Jazz*	40.1	85.1	0.471	13.4	35.2	0.38	26.7	49.9	0.535	17.8	22.8	0.779	9.1	35.8	44.9	22.4	6.1	4.1	15.1	20.4	111.3
Indiana Pacers*	42.1	88.5	0.476	10.2	28	0.363	31.9	60.4	0.529	15	19.1	0.787	8.7	34.1	42.8	25.9	7.4	5.2	13.2	19.8	109.4
Oklahoma City Thunder*	40	85.5	0.468	10.7	30.2	0.355	29.3	55.3	0.529	19.8	24.8	0.796	8.2	34.7	42.9	21.7	7.6	4.9	13.7	19.3	110.4
Sacramento Kings	40.9	88.4	0.462	12.7	34.9	0.364	28.2	53.5	0.527	15.7	20.3	0.77	9.7	32.9	42.6	23.8	7.7	4.1	14.5	22.2	110.1
Orlando Magic*	39.3	88.6	0.444	11.1	32.2	0.343	28.3	56.4	0.502	17.6	22.7	0.774	10.3	34.2	44.5	23.9	8.2	5.4	12.8	18.3	107.3
Atlanta Hawks	40.6	90.6	0.449	12	36.1	0.333	28.6	54.5	0.525	18.5	23.4	0.79	9.9	33.4	43.3	24	7.8	5.1	16.2	23.1	111.8
Minnesota Timberwolves	40.4	91.6	0.441	13.3	39.7	0.336	27.1	52	0.521	19.1	25.4	0.753	10.5	34.3	44.8	23.8	8.7	5.7	15.3	21.4	113.3
Detroit Pistons	39.3	85.7	0.459	12	32.7	0.367	27.3	53	0.515	16.6	22.4	0.743	9.8	32	41.7	24.1	7.4	4.5	15.3	19.7	107.2
New York Knicks	40	89.3	0.447	9.6	28.4	0.337	30.4	61	0.499	16.3	23.5	0.694	12	34.5	46.5	22.1	7.6	4.7	14.3	22.2	105.8
Cleveland Cavaliers	40.3	87.9	0.458	11.2	31.8	0.351	29.1	56.1	0.519	15.1	19.9	0.758	10.8	33.4	44.2	23.1	6.9	3.2	16.5	18.3	106.9
CHI	39.6	88.6	0.447	12.2	35.1	0.348	27.4	53.5	0.511	15.5	20.5	0.755	10.5	31.4	41.9	23.2	10	4.1	15.5	21.8	106.8
GSW	38.6	88.2	0.438	10.4	31.3	0.334	28.2	56.9	0.495	18.7	23.2	0.803	10	32.9	42.8	25.6	8.2	4.6	14.9	20.1	106.3
CHA	37.3	85.9	0.434	12.1	34.3	0.352	25.2	51.6	0.489	16.2	21.6	0.748	11	31.8	42.8	23.8	6.6	4.1	14.6	18.8	102.9
